answer,solution
A,See solution.pdf Q1 explanation
B,See solution.pdf Q2 explanation
A,See solution.pdf Q3 explanation
B,See solution.pdf Q4 explanation
A,See solution.pdf Q5 explanation
D,See solution.pdf Q6 explanation
B,See solution.pdf Q7 explanation
C,See solution.pdf Q8 explanation
A,See solution.pdf Q9 explanation
A,See solution.pdf Q10 explanation
C,See solution.pdf Q11 explanation
A,See solution.pdf Q12 explanation
C,See solution.pdf Q13 explanation
D,See solution.pdf Q14 explanation
D,See solution.pdf Q15 explanation
D,See solution.pdf Q16 explanation
A,See solution.pdf Q17 explanation
A,See solution.pdf Q18 explanation
A,See solution.pdf Q19 explanation
B,See solution.pdf Q20 explanation
C,See solution.pdf Q21 explanation
A,See solution.pdf Q22 explanation
B,See solution.pdf Q23 explanation
B,See solution.pdf Q24 explanation
B,See solution.pdf Q25 explanation
C,See solution.pdf Q26 explanation
B,See solution.pdf Q27 explanation
B,See solution.pdf Q28 explanation
A,See solution.pdf Q29 explanation
A,See solution.pdf Q30 explanation
B,See solution.pdf Q31 explanation
A,See solution.pdf Q32 explanation
A,See solution.pdf Q33 explanation
C,See solution.pdf Q34 explanation
A,See solution.pdf Q35 explanation
D,See solution.pdf Q36 explanation
C,See solution.pdf Q37 explanation
B,See solution.pdf Q38 explanation
C,See solution.pdf Q39 explanation
C,See solution.pdf Q40 explanation
A,See solution.pdf Q41 explanation
B,See solution.pdf Q42 explanation
A,See solution.pdf Q43 explanation
B,See solution.pdf Q44 explanation
D,See solution.pdf Q45 explanation
A,See solution.pdf Q46 explanation
B,See solution.pdf Q47 explanation
C,See solution.pdf Q48 explanation
B,See solution.pdf Q49 explanation
A,See solution.pdf Q50 explanation
A,See solution.pdf Q51 explanation
D,See solution.pdf Q52 explanation
B,See solution.pdf Q53 explanation
C,See solution.pdf Q54 explanation
B,See solution.pdf Q55 explanation
C,See solution.pdf Q56 explanation
B,See solution.pdf Q57 explanation
A,See solution.pdf Q58 explanation
D,See solution.pdf Q59 explanation
A,See solution.pdf Q60 explanation
B,See solution.pdf Q61 explanation
B,See solution.pdf Q62 explanation
B,See solution.pdf Q63 explanation
A,See solution.pdf Q64 explanation
D,See solution.pdf Q65 explanation
D,See solution.pdf Q66 explanation
A,See solution.pdf Q67 explanation
C,See solution.pdf Q68 explanation
D,See solution.pdf Q69 explanation
C,See solution.pdf Q70 explanation
B,See solution.pdf Q71 explanation
B,See solution.pdf Q72 explanation
A,See solution.pdf Q73 explanation
B,See solution.pdf Q74 explanation
B,See solution.pdf Q75 explanation
B,See solution.pdf Q76 explanation
C,See solution.pdf Q77 explanation
A,See solution.pdf Q78 explanation
B,See solution.pdf Q79 explanation
C,See solution.pdf Q80 explanation
B,See solution.pdf Q81 explanation
B,See solution.pdf Q82 explanation
B,See solution.pdf Q83 explanation
D,See solution.pdf Q84 explanation
C,See solution.pdf Q85 explanation
D,See solution.pdf Q86 explanation
B,See solution.pdf Q87 explanation
B,See solution.pdf Q88 explanation
D,See solution.pdf Q89 explanation
C,See solution.pdf Q90 explanation
D,See solution.pdf Q91 explanation
C,See solution.pdf Q92 explanation
C,See solution.pdf Q93 explanation
C,See solution.pdf Q94 explanation
D,See solution.pdf Q95 explanation
C,See solution.pdf Q96 explanation
A,See solution.pdf Q97 explanation
D,See solution.pdf Q98 explanation
B,See solution.pdf Q99 explanation
C,See solution.pdf Q100 explanation
