answer,solution
C,See solution.pdf Q1 explanation
C,See solution.pdf Q2 explanation
A,See solution.pdf Q3 explanation
C,See solution.pdf Q4 explanation
B,See solution.pdf Q5 explanation
D,See solution.pdf Q6 explanation
A,See solution.pdf Q7 explanation
A,See solution.pdf Q8 explanation
C,See solution.pdf Q9 explanation
B,See solution.pdf Q10 explanation
B,See solution.pdf Q11 explanation
D,See solution.pdf Q12 explanation
B,See solution.pdf Q13 explanation
C,See solution.pdf Q14 explanation
C,See solution.pdf Q15 explanation
B,See solution.pdf Q16 explanation
D,See solution.pdf Q17 explanation
C,See solution.pdf Q18 explanation
A,See solution.pdf Q19 explanation
D,See solution.pdf Q20 explanation
C,See solution.pdf Q21 explanation
B,See solution.pdf Q22 explanation
B,See solution.pdf Q23 explanation
A,See solution.pdf Q24 explanation
C,See solution.pdf Q25 explanation
A,See solution.pdf Q26 explanation
C,See solution.pdf Q27 explanation
C,See solution.pdf Q28 explanation
D,See solution.pdf Q29 explanation
B,See solution.pdf Q30 explanation
C,See solution.pdf Q31 explanation
A,See solution.pdf Q32 explanation
A,See solution.pdf Q33 explanation
C,See solution.pdf Q34 explanation
C,See solution.pdf Q35 explanation
B,See solution.pdf Q36 explanation
B,See solution.pdf Q37 explanation
A,See solution.pdf Q38 explanation
C,See solution.pdf Q39 explanation
C,See solution.pdf Q40 explanation
B,See solution.pdf Q41 explanation
A,See solution.pdf Q42 explanation
C,See solution.pdf Q43 explanation
B,See solution.pdf Q44 explanation
A,See solution.pdf Q45 explanation
B,See solution.pdf Q46 explanation
D,See solution.pdf Q47 explanation
A,See solution.pdf Q48 explanation
C,See solution.pdf Q49 explanation
B,See solution.pdf Q50 explanation
D,See solution.pdf Q51 explanation
A,See solution.pdf Q52 explanation
C,See solution.pdf Q53 explanation
C,See solution.pdf Q54 explanation
C,See solution.pdf Q55 explanation
D,See solution.pdf Q56 explanation
B,See solution.pdf Q57 explanation
D,See solution.pdf Q58 explanation
C,See solution.pdf Q59 explanation
B,See solution.pdf Q60 explanation
B,See solution.pdf Q61 explanation
B,See solution.pdf Q62 explanation
C,See solution.pdf Q63 explanation
B,See solution.pdf Q64 explanation
C,See solution.pdf Q65 explanation
B,See solution.pdf Q66 explanation
A,See solution.pdf Q67 explanation
C,See solution.pdf Q68 explanation
A,See solution.pdf Q69 explanation
A,See solution.pdf Q70 explanation
A,See solution.pdf Q71 explanation
A,See solution.pdf Q72 explanation
A,See solution.pdf Q73 explanation
B,See solution.pdf Q74 explanation
A,See solution.pdf Q75 explanation
A,See solution.pdf Q76 explanation
A,See solution.pdf Q77 explanation
B,See solution.pdf Q78 explanation
B,See solution.pdf Q79 explanation
B,See solution.pdf Q80 explanation
B,See solution.pdf Q81 explanation
C,See solution.pdf Q82 explanation
C,See solution.pdf Q83 explanation
D,See solution.pdf Q84 explanation
A,See solution.pdf Q85 explanation
C,See solution.pdf Q86 explanation
A,See solution.pdf Q87 explanation
A,See solution.pdf Q88 explanation
D,See solution.pdf Q89 explanation
D,See solution.pdf Q90 explanation
A,See solution.pdf Q91 explanation
C,See solution.pdf Q92 explanation
D,See solution.pdf Q93 explanation
D,See solution.pdf Q94 explanation
D,See solution.pdf Q95 explanation
A,See solution.pdf Q96 explanation
D,See solution.pdf Q97 explanation
B,See solution.pdf Q98 explanation
B,See solution.pdf Q99 explanation
A,See solution.pdf Q100 explanation
