answer,solution
B,See solution.pdf Q1 explanation
B,See solution.pdf Q2 explanation
C,See solution.pdf Q3 explanation
C,See solution.pdf Q4 explanation
C,See solution.pdf Q5 explanation
C,See solution.pdf Q6 explanation
C,See solution.pdf Q7 explanation
B,See solution.pdf Q8 explanation
D,See solution.pdf Q9 explanation
B,See solution.pdf Q10 explanation
D,See solution.pdf Q11 explanation
C,See solution.pdf Q12 explanation
C,See solution.pdf Q13 explanation
A,See solution.pdf Q14 explanation
A,See solution.pdf Q15 explanation
C,See solution.pdf Q16 explanation
D,See solution.pdf Q17 explanation
D,See solution.pdf Q18 explanation
B,See solution.pdf Q19 explanation
A,See solution.pdf Q20 explanation
C,See solution.pdf Q21 explanation
B,See solution.pdf Q22 explanation
B,See solution.pdf Q23 explanation
A,See solution.pdf Q24 explanation
B,See solution.pdf Q25 explanation
B,See solution.pdf Q26 explanation
B,See solution.pdf Q27 explanation
C,See solution.pdf Q28 explanation
B,See solution.pdf Q29 explanation
A,See solution.pdf Q30 explanation
B,See solution.pdf Q31 explanation
D,See solution.pdf Q32 explanation
B,See solution.pdf Q33 explanation
A,See solution.pdf Q34 explanation
D,See solution.pdf Q35 explanation
C,See solution.pdf Q36 explanation
C,See solution.pdf Q37 explanation
D,See solution.pdf Q38 explanation
B,See solution.pdf Q39 explanation
A,See solution.pdf Q40 explanation
A,See solution.pdf Q41 explanation
A,See solution.pdf Q42 explanation
A,See solution.pdf Q43 explanation
C,See solution.pdf Q44 explanation
B,See solution.pdf Q45 explanation
C,See solution.pdf Q46 explanation
C,See solution.pdf Q47 explanation
A,See solution.pdf Q48 explanation
B,See solution.pdf Q49 explanation
B,See solution.pdf Q50 explanation
B,See solution.pdf Q51 explanation
D,See solution.pdf Q52 explanation
B,See solution.pdf Q53 explanation
A,See solution.pdf Q54 explanation
C,See solution.pdf Q55 explanation
A,See solution.pdf Q56 explanation
D,See solution.pdf Q57 explanation
A,See solution.pdf Q58 explanation
D,See solution.pdf Q59 explanation
D,See solution.pdf Q60 explanation
B,See solution.pdf Q61 explanation
D,See solution.pdf Q62 explanation
A,See solution.pdf Q63 explanation
D,See solution.pdf Q64 explanation
C,See solution.pdf Q65 explanation
A,See solution.pdf Q66 explanation
B,See solution.pdf Q67 explanation
D,See solution.pdf Q68 explanation
C,See solution.pdf Q69 explanation
D,See solution.pdf Q70 explanation
D,See solution.pdf Q71 explanation
A,See solution.pdf Q72 explanation
B,See solution.pdf Q73 explanation
B,See solution.pdf Q74 explanation
A,See solution.pdf Q75 explanation
D,See solution.pdf Q76 explanation
A,See solution.pdf Q77 explanation
A,See solution.pdf Q78 explanation
D,See solution.pdf Q79 explanation
B,See solution.pdf Q80 explanation
C,See solution.pdf Q81 explanation
D,See solution.pdf Q82 explanation
B,See solution.pdf Q83 explanation
A,See solution.pdf Q84 explanation
C,See solution.pdf Q85 explanation
B,See solution.pdf Q86 explanation
A,See solution.pdf Q87 explanation
C,See solution.pdf Q88 explanation
D,See solution.pdf Q89 explanation
A,See solution.pdf Q90 explanation
D,See solution.pdf Q91 explanation
B,See solution.pdf Q92 explanation
A,See solution.pdf Q93 explanation
D,See solution.pdf Q94 explanation
C,See solution.pdf Q95 explanation
A,See solution.pdf Q96 explanation
A,See solution.pdf Q97 explanation
B,See solution.pdf Q98 explanation
B,See solution.pdf Q99 explanation
C,See solution.pdf Q100 explanation
